tiempo_llegada,tiempo_salida_servidor
"3680,089754","3718,674649"
"3682,584588","3721,027078"
"3717,023603","3726,254309"
"3717,131589","3735,791414"
"3726,190459","3736,138798"
"3730,937888","3751,025733"
"3740,402501","3757,600479"
"3745,086652","3760,191127"
"3745,363297","3762,544625"
"3773,778155","3780,909615"
"3788,326059","3790,20747"
"3795,895379","3813,971937"
"3802,219976","3814,211488"
"3802,879277","3823,374949"
"3815,972156","3829,86963"
"3839,301263","3845,112238"
"3853,641461","3863,058204"
"3861,456138","3869,464051"
"3873,411111","3877,470523"
"3885,746453","3916,032815"
"3892,93713","3938,596335"
"3897,343407","3941,95997"
"3898,367093","3969,32974"
"3901,443791","3971,864213"
"3903,470433","3978,904432"
"3904,260329","3979,418132"
"3907,994695","3981,862539"
"3910,38471","3988,235385"
"3912,857312","3996,122177"
"3914,209308","3999,445148"
"3920,651563","4005,283924"
"3925,419699","4010,406643"
"3927,457472","4019,110676"
"3934,982156","4023,520318"
"3944,35193","4026,329491"
"3948,794565","4028,265441"
"3949,509912","4030,658347"
"3961,21351","4033,149053"
"3974,486611","4036,249923"
"3996,537852","4049,998496"
"4006,068158","4054,240377"
"4010,129017","4063,12773"
"4010,839689","4077,239533"
"4014,890832","4077,58176"
"4016,903302","4094,66309"
"4020,341085","4102,01462"
"4042,082406","4104,979866"
"4054,492578","4105,433429"
"4065,072041","4107,080829"
"4070,42719","4138,691927"
"4070,430292","4147,841169"
"4082,221361","4155,80855"
"4083,134247","4157,890617"
"4094,496863","4158,560844"
"4099,181973","4158,783797"
"4120,912484","4162,654222"
"4124,915343","4173,008656"
"4127,945708","4176,369196"
"4134,567215","4177,064321"
"4134,668543","4178,316222"
"4136,804017","4184,055242"
"4140,992162","4206,735765"
"4154,407368","4210,358099"
"4154,824295","4215,745286"
"4182,743506","4221,705299"
"4190,665132","4236,00496"
"4217,256148","4237,208362"
"4231,09097","4243,66254"
"4249,189822","4251,862734"
"4265,406548","4266,218645"
"4281,071642","4281,162376"
"4286,246621","4311,969927"
"4306,825142","4312,849014"
"4319,14214","4323,644874"
"4323,098892","4329,899389"
"4352,802533","4355,625018"
"4363,478134","4384,314534"
"4364,972143","4385,990752"
"4392,131893","4406,581724"
"4398,180857","4407,445093"
"4398,425097","4419,009533"
"4412,409539","4423,242395"
"4429,409719","4442,664254"
